id,symboling,drivewheel,enginelocation,enginesize,horsepower,price,manufacturer,mpg,coupe,size
0,0.0,2,0,1,111,13495.0,14,24.0,1,5.280199039999999
1,0.0,2,0,1,111,16500.0,14,24.0,1,5.280199039999999
2,2.0,2,0,2,154,16500.0,14,22.5,1,5.875926399999999
3,1.0,1,0,1,102,13950.0,17,27.0,0,6.34816956
4,1.0,3,0,1,115,17450.0,17,20.0,0,6.36734832
6,2.0,1,0,1,110,17710.0,17,22.0,0,7.663640460000001
7,2.0,1,0,1,110,18920.0,17,22.0,0,7.663640460000001
8,2.0,1,0,1,140,23875.0,17,18.5,0,7.6911580200000005
9,3.0,3,0,1,160,17859.167,17,19.0,1,6.2918856000000005
11,3.0,2,0,1,101,16925.0,18,26.0,0,6.2209555199999995
13,3.0,2,0,2,121,21105.0,18,24.5,0,6.2209555199999995
14,2.0,2,0,2,121,24565.0,18,22.5,0,7.042763700000001
15,3.0,2,0,2,182,30760.0,18,19.0,0,7.042763700000001
17,3.0,2,0,2,182,36880.0,18,17.5,0,7.8635899
18,1.0,1,0,0,48,5151.0,0,50.0,1,4.52643156
19,2.0,1,0,0,70,6295.0,0,40.5,1,5.1559248
20,3.0,1,0,0,70,6575.0,0,40.5,0,5.251833599999999
21,2.0,1,0,0,68,5572.0,2,39.0,1,5.098155919999999
22,2.0,1,0,0,68,6377.0,2,34.5,1,5.098155919999999
23,2.0,1,0,0,102,7957.0,2,27.0,1,5.098155919999999
25,2.0,1,0,0,68,6692.0,2,34.5,0,5.0780844400000005
26,2.0,1,0,0,68,7609.0,2,34.5,0,5.0780844400000005
28,4.0,1,0,1,88,8921.0,2,27.0,0,6.744937679999998
29,0.0,1,0,2,145,12964.0,2,21.5,1,5.76454632
30,1.0,1,0,0,58,6479.0,1,51.5,1,4.693889519999999
31,1.0,1,0,0,76,6855.0,1,34.5,1,4.693889519999999
32,2.0,1,0,0,60,5399.0,1,40.0,1,5.0496
33,2.0,1,0,0,76,6529.0,1,32.0,1,5.0496
34,2.0,1,0,0,76,7129.0,1,32.0,1,5.0496
35,3.0,1,0,0,76,7295.0,1,32.0,0,5.6993920000000005
36,3.0,1,0,0,76,7295.0,1,32.0,0,5.852556269999998
37,3.0,1,0,1,86,7895.0,1,30.0,1,5.820892999999999
38,3.0,1,0,1,86,9095.0,1,30.0,1,5.820892999999999
39,3.0,1,0,1,86,8845.0,1,30.0,0,6.186919280000001
40,3.0,1,0,1,86,10295.0,1,30.0,0,5.9307125
41,3.0,1,0,1,101,12945.0,1,26.0,0,6.186919280000001
43,3.0,2,0,1,78,6785.0,5,26.5,0,5.6438540999999995
45,3.0,1,0,0,70,8916.5,5,40.5,0,5.1559248
46,1.0,2,0,1,90,11048.0,5,26.5,1,5.7843092799999996
47,3.0,2,0,2,176,32250.0,21,17.0,0,7.335060479999998
48,3.0,2,0,2,176,35550.0,21,17.0,0,7.335060479999998
50,2.0,1,0,0,68,5195.0,10,30.5,1,5.52589302
51,2.0,1,0,0,68,6095.0,10,34.5,1,5.52589302
52,2.0,1,0,0,68,6795.0,10,34.5,1,5.52589302
53,2.0,1,0,0,68,6695.0,10,34.5,0,5.793330960000001
54,2.0,1,0,0,68,7395.0,10,34.5,0,5.793330960000001
55,0.0,2,0,0,101,10945.0,10,20.0,1,5.5072368
56,0.0,2,0,0,101,11845.0,10,20.0,1,5.5072368
57,0.0,2,0,0,101,13645.0,10,20.0,1,5.5072368
58,0.0,2,0,0,135,15645.0,10,19.5,1,5.5072368
59,2.0,1,0,1,84,8845.0,10,29.0,1,6.3493269
60,3.0,1,0,1,84,8495.0,10,29.0,0,6.562153500000001
61,2.0,1,0,1,84,10595.0,10,29.0,1,6.3493269
62,3.0,1,0,1,84,10245.0,10,29.0,0,6.562153500000001
63,3.0,1,0,1,64,10795.0,10,39.0,0,6.562153500000001
65,3.0,2,0,1,120,18280.0,10,23.0,0,6.292719999999999
66,3.0,2,0,1,72,18344.0,10,35.0,0,6.292719999999999
67,4.0,2,0,2,123,25552.0,20,23.5,0,7.58245255
68,4.0,2,0,2,123,28248.0,20,23.5,0,7.87769849
69,3.0,2,0,2,123,28176.0,20,23.5,1,7.23650625
70,4.0,2,0,2,123,31600.0,20,23.5,0,8.17837446
71,4.0,2,0,2,155,34184.0,20,17.0,0,8.207427299999999
72,0.0,2,0,2,155,35056.0,20,17.0,1,6.4572642
73,3.0,2,0,2,184,40960.0,20,15.0,0,8.460076590000002
74,2.0,2,0,2,184,45400.0,20,15.0,1,7.9456896
75,2.0,2,0,1,175,16503.0,15,21.5,1,6.6478976
76,1.0,1,0,0,68,5389.0,6,39.0,1,5.14610096
77,1.0,1,0,0,68,6189.0,6,34.5,1,5.14610096
78,1.0,1,0,0,68,6669.0,6,34.5,1,5.14610096
79,2.0,1,0,0,102,7689.0,6,27.0,1,5.098155919999999
80,0.0,1,0,1,116,9959.0,6,26.5,1,5.5892148
81,0.0,1,0,1,88,8499.0,6,28.5,1,5.5892148
82,0.0,1,0,2,145,12629.0,6,21.5,1,5.76454632
83,0.0,1,0,2,145,14869.0,6,21.5,1,5.76454632
84,0.0,1,0,2,145,14489.0,6,21.5,1,5.76454632
85,2.0,1,0,1,88,6989.0,6,28.5,0,5.817879360000001
86,2.0,1,0,1,88,8189.0,6,28.5,0,5.817879360000001
87,2.0,1,0,1,116,9279.0,6,26.5,0,5.817879360000001
88,4.0,1,0,1,116,9279.0,6,26.5,0,5.817879360000001
92,2.0,1,0,0,69,6849.0,11,34.0,0,5.7476463
93,2.0,1,0,0,69,7349.0,11,34.0,0,5.809436599999999
95,2.0,1,0,0,69,7799.0,11,34.0,1,5.631294239999999
96,2.0,1,0,0,69,7499.0,11,34.0,0,5.7476463
97,2.0,1,0,0,69,7999.0,11,34.0,0,5.809436599999999
98,1.0,1,0,0,69,8249.0,11,34.0,1,5.52247696
100,3.0,1,0,1,97,9549.0,11,30.5,0,6.18420696
101,3.0,1,0,2,152,13499.0,11,19.5,0,6.657760549999999
102,3.0,1,0,2,152,14399.0,11,19.5,0,6.8867799
103,3.0,1,0,2,152,13499.0,11,22.0,0,6.764020899999999
104,0.0,2,0,2,160,17199.0,11,22.0,1,5.7604934100000005
105,0.0,2,0,2,200,19699.0,11,20.0,1,5.7604934100000005
106,2.0,2,0,2,160,18399.0,11,22.0,1,6.023714550000001
107,3.0,2,0,1,97,11900.0,13,21.5,0,7.240748760000001
108,3.0,2,0,2,95,13200.0,13,30.5,0,7.240748760000001
109,3.0,2,0,1,97,12440.0,13,21.5,0,7.985994120000001
110,3.0,2,0,2,95,13860.0,13,25.0,0,7.985994120000001
111,3.0,2,0,1,95,15580.0,13,21.5,0,7.240748760000001
112,3.0,2,0,2,95,16900.0,13,30.5,0,7.240748760000001
113,3.0,2,0,1,95,16695.0,13,21.5,0,7.713898920000001
114,3.0,2,0,2,95,17075.0,13,25.0,0,7.985994120000001
115,3.0,2,0,1,97,16630.0,13,21.5,0,7.240748760000001
116,3.0,2,0,2,95,17950.0,13,30.5,0,7.240748760000001
117,3.0,2,0,1,142,18150.0,13,21.0,0,7.140901599999999
118,2.0,1,0,0,68,5572.0,3,39.0,1,5.098155919999999
119,2.0,1,0,0,102,7957.0,3,27.0,1,5.098155919999999
121,2.0,1,0,0,68,6692.0,3,34.5,0,5.42225992
122,2.0,1,0,0,68,7609.0,3,34.5,0,5.42225992
123,4.0,1,0,1,88,8921.0,3,27.0,0,6.744937679999998
124,0.0,2,0,2,145,12764.0,3,21.5,1,5.76454632
125,0.0,2,0,2,143,22018.0,19,23.0,1,5.791006740000001
126,0.0,2,1,2,207,32528.0,19,21.0,1,5.664905999999999
127,0.0,2,1,2,207,34028.0,19,21.0,1,5.664905999999999
128,0.0,2,1,2,207,37028.0,19,21.0,1,5.664905999999999
129,2.0,2,0,2,288,31400.5,19,22.5,1,6.415070549999999
130,3.0,1,0,1,90,9295.0,7,27.0,0,6.662502000000001
131,1.0,1,0,1,90,9895.0,7,27.0,1,5.9463143999999994
132,0.0,1,0,1,110,11850.0,12,24.5,1,6.961392900000001
133,1.0,1,0,1,110,12170.0,12,24.5,0,6.961392900000001
134,0.0,1,0,1,110,15040.0,12,24.5,1,6.961392900000001
135,1.0,1,0,1,110,15510.0,12,24.5,0,6.961392900000001
136,0.0,1,0,1,160,18150.0,12,22.5,1,6.961392900000001
137,1.0,1,0,1,160,18620.0,12,22.5,0,6.961392900000001
138,1.0,1,0,0,69,5118.0,4,33.5,1,5.341786020000001
139,1.0,1,0,1,73,7053.0,4,28.5,1,5.392790280000001
140,1.0,3,0,1,73,7603.0,4,28.5,1,5.58990718
141,3.0,1,0,1,82,7126.0,4,34.5,0,5.90562
142,3.0,1,0,1,82,7775.0,4,30.5,0,5.90562
143,3.0,1,0,1,94,9960.0,4,29.0,0,5.90562
144,3.0,3,0,1,82,9233.0,4,24.5,0,6.108098400000001
145,3.0,3,0,1,111,11259.0,4,26.5,0,6.108098400000001
146,3.0,1,0,1,82,7463.0,4,30.0,0,6.013857000000001
147,3.0,1,0,1,94,10198.0,4,28.0,0,6.013857000000001
148,3.0,3,0,1,82,8013.0,4,26.0,0,6.233038560000001
149,3.0,3,0,1,111,11694.0,4,23.0,0,6.233038560000001
150,2.0,1,0,0,62,5348.0,8,37.0,1,5.5008593999999995
151,2.0,1,0,0,62,6338.0,8,34.5,1,5.5008593999999995
153,3.0,1,0,0,62,6918.0,8,34.0,0,6.378615720000001
154,3.0,3,0,0,62,7898.0,8,29.5,0,6.378615720000001
155,3.0,3,0,0,62,8778.0,8,29.5,0,6.378615720000001
156,3.0,1,0,0,70,6938.0,8,33.5,0,5.676151600000001
158,3.0,1,0,1,56,7898.0,8,35.0,0,5.676151600000001
160,3.0,1,0,0,70,7738.0,8,42.5,0,5.676151600000001
162,3.0,1,0,0,70,9258.0,8,31.0,0,5.65473216
164,2.0,2,0,0,70,8238.0,8,31.5,1,5.679116799999999
166,2.0,2,0,0,112,9538.0,8,27.5,1,5.679116799999999
167,1.0,2,0,2,116,8449.0,8,27.0,1,6.010534399999998
168,1.0,2,0,2,116,9639.0,8,27.0,1,6.010534399999998
169,1.0,2,0,2,116,9989.0,8,27.0,1,6.010534399999998
170,1.0,2,0,2,116,11199.0,8,27.0,1,6.010534399999998
171,1.0,2,0,2,116,11549.0,8,27.0,1,6.010534399999998
172,1.0,2,0,2,116,17669.0,8,27.0,1,6.126121599999999
173,4.0,1,0,1,92,8948.0,8,31.5,0,6.4108926
174,4.0,1,0,1,73,10698.0,8,31.5,0,6.4108926
176,4.0,1,0,1,92,10898.0,8,29.5,0,6.4108926
178,0.0,2,0,2,161,16558.0,8,22.0,1,6.4599340000000005
179,0.0,2,0,2,161,15998.0,8,21.5,1,6.4599340000000005
180,4.0,2,0,2,156,15690.0,8,22.0,0,6.7563867
181,4.0,2,0,2,156,15750.0,8,21.5,0,6.7563867
184,1.0,1,0,0,52,7995.0,9,41.5,0,6.26421695
185,1.0,1,0,1,85,8195.0,9,30.5,0,6.26421695
186,1.0,1,0,1,85,8495.0,9,30.5,0,6.26421695
187,1.0,1,0,0,68,9495.0,9,39.5,0,6.26421695
188,1.0,1,0,1,100,9995.0,9,29.0,0,6.26421695
189,0.0,1,0,1,90,11595.0,9,26.5,1,5.686245360000001
190,0.0,1,0,1,90,9980.0,9,26.5,1,5.450867199999999
191,3.0,1,0,1,110,13295.0,9,21.5,0,6.642514380000001
192,3.0,1,0,0,68,13845.0,9,35.5,0,6.642514380000001
193,3.0,1,0,1,88,12290.0,9,28.0,0,6.7494138900000005
194,5.0,2,0,1,114,12940.0,16,25.5,0,7.130296320000001
195,4.0,2,0,1,114,13415.0,16,25.5,0,7.295232
196,5.0,2,0,1,114,15985.0,16,26.0,0,7.130296320000001
197,4.0,2,0,1,114,16515.0,16,26.0,0,7.295232
198,5.0,2,0,1,162,18420.0,16,19.5,0,7.130296320000001
199,4.0,2,0,1,162,18950.0,16,19.5,0,7.295232
200,4.0,2,0,1,114,16845.0,16,25.5,0,7.219617600000001
201,4.0,2,0,1,160,19045.0,16,22.0,0,7.2091392
202,4.0,2,0,2,134,21485.0,16,20.5,0,7.219617600000001
203,4.0,2,0,1,106,22470.0,16,26.5,0,7.219617600000001
204,4.0,2,0,1,114,22625.0,16,22.0,0,7.219617600000001
